Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c5_0527835_0528145,do y- ?==,do y- ?==,%-,%-
Bmr019-c5_0528205_0528415,is ?==,is ?==,%-,%-
Bmr019-c5_0528825_0535072,so does - so th- - so does - does um the t. i. digits database have speakers that are known ?,so does - so th- - so does - does um the t_i-digits database have speakers that are known ?,qy^rt,qy^rt
Bmr019-c4_0534207_0534407,yep .,yep .,s^aa,s^aa
Bmr019-c4_0535277_0535547,yep .,yep .,s^aa^r,s^aa^r
Bmr019-c5_0536067_0541877,and is there - is there enough data or a comparable - comparable amount of data to - to what we have in our recordings here ?,and is there - is there enough data or a comparable - comparable amount of data to - to what we have in our recordings here ?,qy^rt,qy^rt
Bmr019-c4_0538030_0538650,that i don't know .,that i don't know .,s^no,s^no
Bmr019-c4_0540024_0540894,i don't know .,i don't know .,s^no^r,s^no^r
Bmr019-c4_0541790_0543060,i don't know how many speakers there are .,i don't know how many speakers there are .,s^no,s^no
Bmr019-c4_0543060_0545400,and - and how many speakers per utterance .,and - and how many speakers per utterance .,s^e,s^e
Bmr019-c5_0543482_0543802,okay .,o_k .,s^bk,s^bk
Bmr019-c1_0543547_0543867,yeah .,yeah .,fg,fg
Bmr019-c1_0545471_0550221,well | the other thing would be to do it without the adaptation and compare to these numbers without the adaptation .,well | the other thing would be to do it without the adaptation and compare to these numbers without the adaptation .,fg|s,fg|s
Bmr019-c1_0550846_0551116,that would ==,that would ==,s.%-,s.%-
Bmr019-c5_0550901_0560492,right | uh but i'm not so much worried about the adaptation actually than - than the um - um the uh v. t. l estimation .,right | uh but i'm not so much worried about the adaptation actually than - than the um - um the uh v_t_l estimation .,s^bk|s^df^ng,s^bk|s^df^ng
Bmr019-c4_0560689_0560929,right .,right .,b,b
Bmr019-c5_0560942_0568312,if you have only one utterance per speaker you might actually screw up on estimating the - the warping uh factor .,if you have only one utterance per speaker you might actually screw up on estimating the - the warping uh factor .,s^e,s^e
Bmr019-c5_0568312_0569882,so um ==,so um ==,fh,fh
Bmr019-c4_0570053_0572613,i strongly suspect that they have more speakers than we do .,i strongly suspect that they have more speakers than we do .,s,s
Bmr019-c5_0573470_0575120,right | but it's not the amount of speakers .,right | but it's not the amount of speakers .,s^bk|s^nd,s^bk|s^nd
Bmr019-c4_0573713_0574693,so uh ==,so uh ==,fh,fh
Bmr019-c5_0575120_0576930,it's the num- - it's the amount of data per speaker .,it's the num- - it's the amount of data per speaker .,s^e,s^e
Bmr019-c4_0576926_0581026,right | so we - we could probably do an extraction that was roughly equivalent .,right | so we - we could probably do an extraction that was roughly equivalent .,s^bk|s,s^bk|s
Bmr019-c5_0578190_0578370,right .,right .,b,b
Bmr019-c5_0579976_0580186,right .,right .,b,b
Bmr019-c4_0581660_0582370,um ==,um ==,fh,fh
Bmr019-c5_0581660_0582130,so ==,so ==,fh,fh
Bmr019-c4_0583553_0589753,so although i - i sort of know how to run it there are a little - a f- - few details here and there that i'll have to dig out .,so although i - i sort of know how to run it there are a little - a f- - few details here and there that i'll have to dig out .,s,s
Bmr019-c5_0587089_0587429,okay .,o_k .,fg,fg
Bmr019-c5_0587749_0588119,the key ==,the key ==,s.%-,s.%-
Bmr019-c5_0588740_0593460,so th- - the system actually extracts the speaker i. d from the waveform names .,so th- - the system actually extracts the speaker i_d from the waveform names .,s,s
Bmr019-c4_0593679_0594399,right | i saw that .,right | i saw that .,s^aa|s,s^aa|s
Bmr019-c5_0594033_0597493,and there's a - there's a script - and that is actually all in one script .,and there's a - there's a script - and that is actually all in one script .,s,s
Bmr019-c5_0597493_0600093,so there's this one script that parses waveform names .,so there's this one script that parses waveform names .,s,s
Bmr019-c5_0600563_0605287,and extracts things like the um speaker uh i. d .,and extracts things like the um speaker uh i_d .,s,s
Bmr019-c5_0605287_0607467,or something that can stand in as a speaker i. d .,or something that can stand in as a speaker i_d .,s^e,s^e
Bmr019-c5_0607467_0619074,so we might have to modify that script to recognize the um speakers um in the - in the uh um t. i. digits database .,so we might have to modify that script to recognize the um speakers um in the - in the uh um t_i-digits database .,s^cs,s^cs
Bmr019-c4_0611420_0611670,right .,right .,b,b
Bmr019-c4_0617956_0618206,right .,right .,b,b
Bmr019-c4_0619607_0620437,and that uh ==,and that uh ==,s.%-,s.%-
Bmr019-c5_0620709_0629620,or you can fake - you can fake names for these waveforms that resemble the names that we use here for the - for the meetings .,or you can fake - you can fake names for these waveforms that resemble the names that we use here for the - for the meetings .,s^cs,s^cs
Bmr019-c4_0628339_0628519,right .,right .,b,b
Bmr019-c5_0629770_0632560,that would be the sort of - probably the safest way to do ==,that would be the sort of - probably the safest way to do ==,s.%-,s.%-
Bmr019-c4_0631670_0633640,i might have to do that anyway to - to do ==,i might have to do that anyway to - to do ==,s.%--,s.%--
Bmr019-c4_0633640_0637910,because we may have to do an extract to get the amount of data per speaker about right .,because we may have to do an extract to get the amount of data per speaker about right .,s^df,s^df
Bmr019-c5_0638187_0638517,uhhuh .,uh-huh .,b,b
Bmr019-c4_0639042_0641942,the other thing is isn't t. i. digits isolated digits ?,the other thing is isn't t_i-digits isolated digits ?,qy^rt,qy^rt
Bmr019-c5_0639353_0639533,right .,right .,b,b
Bmr019-c4_0642402_0643232,or is that another one ?,or is that another one ?,qrr,qrr
Bmr019-c4_0643232_0646112,i'm - i looked through a bunch of the digits t- - corp- - corpora .,i'm - i looked through a bunch of the digits t- - corp- - corpora .,s^df,s^df
Bmr019-c4_0646382_0647492,and now they're all blurring .,and now they're all blurring .,s^df^e,s^df^e
Bmr019-c1_0648251_0648621,uhhuh .,mm-hmm .,b,b
Bmr019-c4_0648330_0651730,because one of them was literally people reading a single digit .,cuz one of them was literally people reading a single digit .,s,s
Bmr019-c4_0653751_0655701,and then others were connected digits .,and then others were connected digits .,s,s
Bmr019-c1_0655928_0658368,yeah | most of t. i. digits is connected digits i think .,yeah | most of t_i-digits is connected digits i think .,fg|s,fg|s
Bmr019-c4_0657655_0657915,okay .,o_k .,s^bk,s^bk
Bmr019-c1_0658368_0660778,the - i mean we had a bellcore corpus that we were using .,the - i mean we had a bellcore corpus that we were using .,s,s
Bmr019-c4_0660644_0661954,maybe it's the bell gram .,maybe it's the bell gram .,s,s
Bmr019-c1_0660778_0663414,it was that's - that was isolated digits .,it was that's - that was isolated digits .,s,s
Bmr019-c4_0662869_0663439,bell digits .,bell digits .,s^e,s^e
Bmr019-c4_0664156_0664446,all right .,alright .,s^bk,s^bk
Bmr019-c5_0664830_0681603,by the way i think we can improve these numbers if we care to compr- - improve them by um not starting with the switchboard models but by taking the switchboard models and doing supervised adaptation on a small amount of digit data collected in this setting .,by the way i think we can improve these numbers if we care to compr- - improve them by um not starting with the switchboard models but by taking the switchboard models and doing supervised adaptation on a small amount of digit data collected in this setting .,s,s
Bmr019-c1_0664883_0665213,um ==,um ==,fh.%,fh.%
Bmr019-c4_0680707_0680867,yep .,yep .,s^aa,s^aa
Bmr019-c5_0682129_0685419,because that would adapt your models to the room acoustics .,because that would adapt your models to the room acoustics .,s^df,s^df
Bmr019-c5_0685419_0688699,and f- - for the far field microphones you know to the noise .,and f- - for the far-field microphones you know to the noise .,s^df^e,s^df^e
Bmr019-c5_0689400_0692970,and that should really improve things um further .,and that should really improve things um further .,s,s
Bmr019-c5_0694176_0699826,and then you use those adapted models which are not speaker adapted but sort of acous- - you know channel adapted .,and then you use those adapted models which are not speaker adapted but sort of acous- - you know channel adapted .,s,s
Bmr019-c4_0698530_0699300,channel adapted .,channel adapted .,s^2,s^2
Bmr019-c5_0700166_0703016,use that as the starting models for your speaker adaptation .,use that as the starting models for your speaker adaptation .,s,s
Bmr019-c1_0703333_0715438,yeah | but the thing is uh - i mean w- - when you it depends whether you're ju- - were just using this as a - a starter task for - you know to get things going for conversational or if we're really interested i- - in connected digits .,yeah | but the thing is uh - i mean w- - when you it depends whether you're ju- - were just using this as a - a starter task for - you know to get things going for conversational or if we're really interested i- - in connected digits .,fg|s^ng,fg|s^ng
Bmr019-c1_0715438_0716478,and i - i think the answer is both .,and i - i think the answer is both .,s,s
Bmr019-c5_0716620_0718030,well i don't know .,well i don't know .,s^ng^no,s^ng^no
Bmr019-c1_0716993_0721623,and for - for connected digits over the telephone you don't actually want to put a whole lot of effort into adaptation .,and for - for connected digits over the telephone you don't actually want to put a whole lot of effort into adaptation .,s,s
Bmr019-c1_0721623_0724382,because somebody gets on the phone and says a number .,because somebody gets on the phone and says a number .,s^df,s^df
Bmr019-c1_0724382_0725382,and then you just want it .,and then you just want it .,s^df^e,s^df^e
Bmr019-c1_0726299_0727299,you don't - don't uh ==,you don't - don't uh ==,s.%-,s.%-
Bmr019-c2_0726620_0727750,this is - this - that one's better .,this is - this - that one's better .,s,s
Bmr019-c5_0726950_0727480,right .,right .,b,b
Bmr019-c2_0727750_0727840,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0727880_0735285,um but you know i - uh my impression was that you were actually interested in the far field microphone uh problem .,um but you know i - uh my impression was that you were actually interested in the far-field microphone uh problem .,s,s
Bmr019-c5_0735285_0735555,i mean ==,i mean ==,%--,%--
Bmr019-c5_0735925_0736365,so ==,so ==,fh,fh
Bmr019-c5_0736890_0739790,you want to - you want to - that's the obvious thing to try .,you want to - you want to - that's the obvious thing to try .,s,s
Bmr019-c2_0739488_0739738,oh .,oh .,b,b
Bmr019-c2_0739738_0739848,oh .,oh .,b,b
Bmr019-c5_0739870_0740140,right ?,right ?,qy^d^f^g,qy^d^f^g
Bmr019-c5_0740140_0743995,then uh - because you - you don't have any ==,then eh - because you - you don't have any ==,s^df.%--,s^df.%--
Bmr019-c1_0740364_0740724,right .,right .,b.%,b.%
Bmr019-c2_0741958_0742338,yeah .,yeah .,b.%,b.%
Bmr019-c5_0744345_0750595,that's where the most m- - acoustic mismatch is between the currently used models and the - the r- - the set up here .,that's where the most m- - acoustic mismatch is between the currently used models and the - the r- - the set up here .,s,s
Bmr019-c1_0749035_0749355,right .,right .,b,b
Bmr019-c5_0750755_0750965,so ==,so ==,fh,fh
Bmr019-c1_0752448_0754408,yeah | so that'd be anoth- - another interesting data point .,yeah | so that'd be anoth- - another interesting data point .,fg|s,fg|s
Bmr019-c5_0753463_0754073,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0754408_0757398,i mean i - i guess i'm saying i don't know if we'd want to do that as the - as ==,i mean i - i guess i'm saying i don't know if we'd want to do that as the - as ==,s.%-,s.%-
Bmr019-c4_0756445_0756835,other way .,other way .,s^t3,s^t3
Bmr019-c3_0756815_0757195,other way .,other way .,s^t3,s^t3
Bmr019-c4_0756995_0757225,liz ==,liz ==,%-,%-
Bmr019-c0_0759109_0759899,now you're all watching me .,now you're all watching me .,s^t3,s^t3
Bmr019-c4_0759578_0761198,it f- - it clips over your ears .,it f- - it clips over your ears .,s,s
Bmr019-c0_0760629_0760969,all right .,alright .,s^bk,s^bk
Bmr019-c0_0761099_0761479,this way .,this way .,s,s
Bmr019-c4_0761198_0761748,there you go .,there you go .,s,s
Bmr019-c2_0763224_0765954,if you have a strong fe- - if you have a strong preference you could use this .,if you have a strong fe- - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh if you have a strong preference Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh you could use this .,s,s
